Sample 202: No. iterations = 512, Error = 0.5
Sample 203: No. iterations = 512, Error = 0.5
Sample 204: No. iterations = 512, Error = 0.5
Sample 205: No. iterations = 512, Error = 0.5
Sample 206: No. iterations = 512, Error = 0.5
Sample 207: No. iterations = 512, Error = 0.5
Sample 208: No. iterations = 512, Error = 0.5
Sample 209: No. iterations = 512, Error = 0.5
Sample 210: No. iterations = 512, Error = 0.5
Sample 211: No. iterations = 512, Error = 0.5
Sample 212: No. iterations = 512, Error = 0.5
Sample 213: No. iterations = 512, Error = 0.5
Sample 214: No. iterations = 512, Error = 0.5
Sample 215: No. iterations = 512, Error = 0.500037
Sample 216: No. iterations = 512, Error = 0.5
Sample 217: No. iterations = 512, Error = 0.5
Sample 218: No. iterations = 512, Error = 0.5
Sample 219: No. iterations = 512, Error = 0.5
Sample 220: No. iterations = 512, Error = 0.5
Sample 221: No. iterations = 512, Error = 0.5
Sample 222: No. iterations = 512, Error = 0.5
Sample 223: No. iterations = 512, Error = 0.5
Sample 224: No. iterations = 512, Error = 0.5
Sample 225: No. iterations = 512, Error = 0.5
Sample 226: No. iterations = 512, Error = 0.5
Sample 227: No. iterations = 512, Error = 0.0668565
Sample 228: No. iterations = 512, Error = 0.5
Sample 229: No. iterations = 512, Error = 0.500682
Sample 230: No. iterations = 512, Error = 0.5
Sample 231: No. iterations = 512, Error = 0.5
Sample 232: No. iterations = 512, Error = 0.5
Sample 233: No. iterations = 512, Error = 0.5
Sample 234: No. iterations = 512, Error = 0.5
Sample 235: No. iterations = 512, Error = 0.5
Sample 236: No. iterations = 512, Error = 0.5
Sample 237: No. iterations = 512, Error = 0.5
Sample 238: No. iterations = 512, Error = 0.5
Sample 239: No. iterations = 512, Error = 0.5
Sample 240: No. iterations = 512, Error = 0.5
Sample 241: No. iterations = 512, Error = 0.5
Sample 242: No. iterations = 512, Error = 0.5
Sample 243: No. iterations = 512, Error = 0.5
Sample 244: No. iterations = 512, Error = 0.5
Sample 245: No. iterations = 512, Error = 0.5
Sample 246: No. iterations = 512, Error = 0.5
Sample 247: No. iterations = 512, Error = 0.501963
Sample 248: No. iterations = 512, Error = 0.5
Sample 249: No. iterations = 512, Error = 0.5
Sample 250: No. iterations = 512, Error = 0.0352904
Sample 251: No. iterations = 512, Error = 0.5
Sample 252: No. iterations = 512, Error = 0.5
Sample 253: No. iterations = 512, Error = 0.5
Sample 254: No. iterations = 512, Error = 0.5
Sample 255: No. iterations = 512, Error = 0.5
Sample 256: No. iterations = 512, Error = 0.5
Sample 257: No. iterations = 512, Error = 0.5
Sample 258: No. iterations = 512, Error = 0.5
Sample 259: No. iterations = 512, Error = 0.5
Sample 260: No. iterations = 512, Error = 0.5
Sample 261: No. iterations = 512, Error = 0.5
Sample 262: No. iterations = 512, Error = 0.5
Sample 263: No. iterations = 512, Error = 0.500436
Sample 264: No. iterations = 512, Error = 0.5
Sample 265: No. iterations = 512, Error = 0.5
Sample 266: No. iterations = 512, Error = 0.5
Sample 267: No. iterations = 512, Error = 0.5
Sample 268: No. iterations = 512, Error = 0.5
Sample 269: No. iterations = 512, Error = 0.5
Sample 270: No. iterations = 512, Error = 0.5
Sample 271: No. iterations = 512, Error = 0.5
Sample 272: No. iterations = 512, Error = 0.5
Sample 273: No. iterations = 512, Error = 0.5
Sample 274: No. iterations = 512, Error = 0.5
Sample 275: No. iterations = 512, Error = 0.500678
Sample 276: No. iterations = 512, Error = 0.5
Sample 277: No. iterations = 512, Error = 0.5
Sample 278: No. iterations = 512, Error = 0.5
Sample 279: No. iterations = 512, Error = 0.5
Sample 280: No. iterations = 512, Error = 1.00088
Sample 281: No. iterations = 512, Error = 0.5
Sample 282: No. iterations = 512, Error = 0.5
Sample 283: No. iterations = 512, Error = 0.0119195
Sample 284: No. iterations = 512, Error = 0.00482681
Sample 285: No. iterations = 512, Error = 0.500226
Sample 286: No. iterations = 512, Error = 0.5
Sample 287: No. iterations = 512, Error = 0.5
Sample 288: No. iterations = 512, Error = 0.5
Sample 289: No. iterations = 512, Error = 0.5
Sample 290: No. iterations = 512, Error = 0.5
Sample 291: No. iterations = 512, Error = 0.5
Sample 292: No. iterations = 512, Error = 0.5
Sample 293: No. iterations = 512, Error = 0.5
Sample 294: No. iterations = 512, Error = 0.5
Sample 295: No. iterations = 512, Error = 0.5
Sample 296: No. iterations = 512, Error = 0.5
Sample 297: No. iterations = 512, Error = 0.5
Sample 298: No. iterations = 512, Error = 0.5
